id,title,title_en,type,domain,status,file
EIS_REFERENCE_PLACEMENT,기준 전극 위치,Reference-electrode placement,Condition,measurement,reviewed,note/기준 전극 위치.md
EIS_REFERENCE_ELECTRODE,기준 전극,Reference electrode,InstrumentComponent,measurement,reviewed,note/기준 전극.md
EIS_NYQUIST_PLOT,나이퀴스트 선도,Nyquist plot,DataRepresentation,representations,core-reviewed,note/나이퀴스트 선도.md
EIS_ACTIVE_FREQUENCY_SELECTION,능동 주파수 선택,Active frequency selection,AnalysisMethod,analysis,reviewed,note/능동 주파수 선택.md
EIS_POROUS_ELECTRODE_TRANSPORT,다공성 전극 수송,Porous-electrode transport,Process,processes,core-reviewed,note/다공성 전극 수송.md
EIS_POROUS_TLM,다공성 전극 전송선 모델,Porous-electrode transmission-line model,PhysicalModel,models,core-reviewed,note/다공성 전극 전송선 모델.md
EIS_MULTISINE,다중 사인 EIS,Multisine EIS,MeasurementMethod,measurement,reviewed,note/다중 사인 EIS.md
EIS_SINGLE_SINE,단일 사인 EIS,Single-sine EIS,MeasurementMethod,measurement,core-reviewed,note/단일 사인 EIS.md
EIS_COATING_APPLICATION,도막 EIS,Coating EIS,Application,applications,reviewed,note/도막 EIS.md
EIS_DYNAMIC_EIS,동적 EIS,Dynamic EIS,MeasurementMethod,applications,reviewed,note/동적 EIS.md
EIS_STABILITY,동적 안정성,Dynamic stability,ValidationCriterion,validation,reviewed,note/동적 안정성.md
EIS_EQUIVALENT_CIRCUIT,등가회로 모델,Equivalent-circuit model,CircuitModel,models,core-reviewed,note/등가회로 모델.md
EIS_CIRCUIT_CLASSIFICATION,등가회로 분류,Equivalent-circuit classification,AnalysisMethod,analysis,reviewed,note/등가회로 분류.md
EIS_RANDLES_CIRCUIT,랜들스 회로,Randles circuit,CircuitModel,models,core-reviewed,note/랜들스 회로.md
EIS_PARAMETER_BOUNDS,매개변수 경계,Parameter bounds,AnalysisInput,analysis,reviewed,note/매개변수 경계.md
EIS_COVARIANCE,매개변수 공분산,Parameter covariance,AnalysisOutput,analysis,reviewed,note/매개변수 공분산.md
EIS_PARAMETER_CORRELATION,매개변수 상관,Parameter correlation,AnalysisConcept,analysis,core-reviewed,note/매개변수 상관.md
EIS_CONFIDENCE_INTERVAL,매개변수 신뢰구간,Parameter confidence interval,AnalysisOutput,analysis,reviewed,note/매개변수 신뢰구간.md
EIS_DUMMY_CELL,모의 셀 검사,Dummy-cell test,ValidationMethod,validation,reviewed,note/모의 셀 검사.md
EIS_PHYSICS_BASED_MODEL,물리 기반 임피던스 모델,Physics-based impedance model,PhysicalModel,models,reviewed,note/물리 기반 임피던스 모델.md
EIS_PHYSICS_GUIDED_ML,물리 유도형 EIS 기계 학습,Physics-guided EIS machine learning,AnalysisMethod,analysis,reviewed,note/물리 유도형 EIS 기계 학습.md
EIS_MASS_TRANSPORT,물질 전달,Mass transport,Process,processes,core-reviewed,note/물질 전달.md
EIS_WARBURG_SEMI_INFINITE,반무한 와버그 임피던스,Semi-infinite Warburg impedance,CircuitElement,elements,core-reviewed,note/반무한 와버그 임피던스.md
EIS_SEMI_INFINITE_DIFFUSION,반무한 확산,Semi-infinite diffusion,Process,processes,reviewed,note/반무한 확산.md
EIS_REPEATABILITY,반복 측정,Repeatability,ValidationMethod,validation,reviewed,note/반복 측정.md
EIS_REACTION_DIFFUSION,반응–확산 결합,Reaction-diffusion coupling,Process,processes,reviewed,note/반응–확산 결합.md
EIS_BATTERY_APPLICATION,배터리 EIS,Battery EIS,Application,applications,core-reviewed,note/배터리 EIS.md
EIS_BUTLER_VOLMER,버틀러–볼머 식,Butler-Volmer equation,Equation,processes,reviewed,note/버틀러–볼머 식.md
EIS_BAYESIAN_DRT,베이즈 DRT,Bayesian DRT,AnalysisMethod,analysis,reviewed,note/베이즈 DRT.md
EIS_BAYESIAN_MODEL_SELECTION,베이즈 모형 선택,Bayesian model selection,AnalysisMethod,analysis,reviewed,note/베이즈 모형 선택.md
EIS_PARALLEL_RC,병렬 RC 완화,Parallel RC relaxation,CircuitElement,elements,core-reviewed,note/병렬 RC 완화.md
EIS_PARALLEL_CONNECTION,병렬 연결,Parallel connection,CircuitTopology,elements,reviewed,note/병렬 연결.md
EIS_BODE_PLOT,보드 선도,Bode plot,DataRepresentation,representations,core-reviewed,note/보드 선도.md
EIS_BODE_PHASE,보드 위상 선도,Bode phase plot,DataRepresentation,representations,reviewed,note/보드 위상 선도.md
EIS_BODE_MAGNITUDE,보드 크기 선도,Bode magnitude plot,DataRepresentation,representations,reviewed,note/보드 크기 선도.md
EIS_CNLS,복소 비선형 최소제곱법,Complex nonlinear least squares,AnalysisMethod,analysis,core-reviewed,note/복소 비선형 최소제곱법.md
EIS_ADMITTANCE,복소 어드미턴스,Complex admittance,Observable,principles,reviewed,note/복소 어드미턴스.md
EIS_COMPLEX_IMPEDANCE,복소 임피던스,Complex impedance,Observable,principles,core-reviewed,note/복소 임피던스.md
EIS_COMPLEX_MODULUS,복소 전기 모듈러스,Complex electric modulus,DataRepresentation,representations,reviewed,note/복소 전기 모듈러스.md
EIS_COMPLEX_CAPACITANCE,복소 정전용량,Complex capacitance,ProcessedObservable,representations,reviewed,note/복소 정전용량.md
EIS_COMPLEX_NUMBER,복소수,Complex number,MathematicalObject,foundations,core-reviewed,note/복소수.md
EIS_CORROSION_APPLICATION,부식 EIS,Corrosion EIS,Application,applications,reviewed,note/부식 EIS.md
EIS_DISTRIBUTED_RELAXATION,분포 완화 모델,Distributed-relaxation model,PhysicalModel,models,reviewed,note/분포 완화 모델.md
EIS_OOD_DETECTION,분포 외 탐지,Out-of-distribution detection,AnalysisMethod,analysis,reviewed,note/분포 외 탐지.md
EIS_NONLINEAR_DISTORTION,비선형 왜곡,Nonlinear distortion,Artifact,validation,reviewed,note/비선형 왜곡.md
EIS_SINUSOID,사인파 자극,Sinusoidal excitation,Signal,foundations,core-reviewed,note/사인파 자극.md
EIS_POSTERIOR_PREDICTIVE,사후예측검사,Posterior predictive check,ValidationMethod,analysis,reviewed,note/사후예측검사.md
EIS_COUNTER_ELECTRODE,상대 전극,Counter electrode,Entity,measurement,reviewed,note/상대 전극.md
EIS_CPE,상수 위상 요소,Constant-phase element,CircuitElement,elements,core-reviewed,note/상수 위상 요소.md
EIS_LTI_SYSTEM,선형 시불변 시스템,Linear time-invariant system,ModelOrTheory,foundations,core-reviewed,note/선형 시불변 시스템.md
EIS_LIN_KK,선형 크래머스–크로닉 검사,Linear Kramers-Kronig test,ValidationMethod,validation,core-reviewed,note/선형 크래머스–크로닉 검사.md
EIS_GEOMETRY_ARTIFACT,셀 기하 왜곡,Cell-geometry artifact,Artifact,validation,reviewed,note/셀 기하 왜곡.md
EIS_SMALL_SIGNAL,소신호 근사,Small-signal approximation,Approximation,principles,core-reviewed,note/소신호 근사.md
EIS_SPECTRAL_LEAKAGE,스펙트럼 누설,Spectral leakage,Artifact,validation,reviewed,note/스펙트럼 누설.md
EIS_TIME_CONSTANT,시간상수,Time constant,PhysicalQuantity,foundations,core-reviewed,note/시간상수.md
EIS_PRACTICAL_IDENTIFIABILITY,실용적 식별가능성,Practical identifiability,AnalysisConcept,analysis,core-reviewed,note/실용적 식별가능성.md
EIS_ADMITTANCE_PLOT,어드미턴스 표현,Admittance representation,DataRepresentation,representations,reviewed,note/어드미턴스 표현.md
EIS_FUEL_CELL_APPLICATION,연료전지 EIS,Fuel-cell EIS,Application,applications,reviewed,note/연료전지 EIS.md
EIS_UNCERTAINTY_CALIBRATION,예측 불확실성 보정,Prediction uncertainty calibration,AnalysisMethod,analysis,reviewed,note/예측 불확실성 보정.md
EIS_EULER_RELATION,오일러 공식,Euler relation,Equation,foundations,reviewed,note/오일러 공식.md
EIS_RELAXATION_PROCESS,완화 과정,Relaxation process,Process,principles,reviewed,note/완화 과정.md
EIS_DRT,완화 시간 분포,Distribution of relaxation times,AnalysisMethod,analysis,core-reviewed,note/완화 시간 분포.md
EIS_SOLUTION_RESISTANCE,용액 저항,Solution resistance,ProcessParameter,processes,core-reviewed,note/용액 저항.md
EIS_RAW_DATA,원시 EIS 데이터,Raw EIS data,DataStructure,applications,reviewed,note/원시 EIS 데이터.md
EIS_PHASE_ANGLE,위상각,Phase angle,PhysicalQuantity,foundations,reviewed,note/위상각.md
EIS_INDUCTIVE_LOOP,유도성 루프,Inductive loop,SpectralFeature,elements,reviewed,note/유도성 루프.md
EIS_WARBURG_FINITE,유한 길이 와버그 임피던스,Finite-length Warburg impedance,CircuitElement,elements,reviewed,note/유한 길이 와버그 임피던스.md
EIS_FINITE_BANDWIDTH,유한 주파수 대역,Finite frequency bandwidth,Limitation,validation,core-reviewed,note/유한 주파수 대역.md
EIS_FINITE_DIFFUSION,유한 확산,Finite diffusion,Process,processes,reviewed,note/유한 확산.md
EIS_DISCRETE_DRT,이산 DRT,Discrete DRT,AnalysisMethod,analysis,reviewed,note/이산 DRT.md
EIS_INDUCTOR,이상적 인덕터,Ideal inductor,CircuitElement,elements,reviewed,note/이상적 인덕터.md
EIS_RESISTOR,이상적 저항기,Ideal resistor,CircuitElement,elements,core-reviewed,note/이상적 저항기.md
EIS_CAPACITOR,이상적 축전기,Ideal capacitor,CircuitElement,elements,core-reviewed,note/이상적 축전기.md
EIS_IONIC_CONDUCTION,이온 전도,Ionic conduction,Process,processes,reviewed,note/이온 전도.md
EIS_DOUBLE_LAYER_CAPACITANCE,이중층 정전용량,Double-layer capacitance,ModelParameter,processes,reviewed,note/이중층 정전용량.md
EIS_DOUBLE_LAYER_CHARGING,이중층 충전,Double-layer charging,Process,processes,core-reviewed,note/이중층 충전.md
EIS_CAUSALITY,인과성,Causality,ValidationCriterion,validation,reviewed,note/인과성.md
EIS_GCV,일반화 교차검증,Generalized cross-validation,AnalysisMethod,analysis,reviewed,note/일반화 교차검증.md
EIS_REAL_PART,임피던스 실수부,Real part of impedance,Observable,principles,reviewed,note/임피던스 실수부.md
EIS_IMPEDANCE_MAGNITUDE,임피던스 크기,Impedance magnitude,Observable,principles,reviewed,note/임피던스 크기.md
EIS_IMAGINARY_PART,임피던스 허수부,Imaginary part of impedance,Observable,principles,reviewed,note/임피던스 허수부.md
EIS_AMPLITUDE,자극 진폭,Perturbation amplitude,PhysicalQuantity,foundations,core-reviewed,note/자극 진폭.md
EIS_WORKING_ELECTRODE,작업 전극,Working electrode,Entity,measurement,reviewed,note/작업 전극.md
EIS_RESIDUAL_ANALYSIS,잔차 분석,Residual analysis,AnalysisMethod,analysis,core-reviewed,note/잔차 분석.md
EIS_RESIDUAL_SPECTRUM,잔차 스펙트럼,Residual spectrum,ProcessedObservable,representations,core-reviewed,note/잔차 스펙트럼.md
EIS_LOW_FREQUENCY_ARTIFACT,저주파 비정상성 왜곡,Low-frequency nonstationary artifact,Artifact,validation,reviewed,note/저주파 비정상성 왜곡.md
EIS_MIGRATION,전기장에 의한 이온 이동,Ionic migration,Process,processes,reviewed,note/전기장에 의한 이온 이동.md
EIS_ELECTROCATALYSIS_APPLICATION,전기촉매 EIS,Electrocatalysis EIS,Application,applications,reviewed,note/전기촉매 EIS.md
EIS_ELECTROCHEMICAL_IMPEDANCE_SPECTROSCOPY,전기화학 임피던스 분광법,Electrochemical impedance spectroscopy,MeasurementMethod,principles,core-reviewed,note/전기화학 임피던스 분광법.md
EIS_OPERATING_POINT,전기화학 작동점,Electrochemical operating point,Condition,principles,core-reviewed,note/전기화학 작동점.md
EIS_TRANSFER_FUNCTION,전달함수,Transfer function,MathematicalObject,foundations,reviewed,note/전달함수.md
EIS_RANGE_SWITCHING,전류 범위 전환 왜곡,Current-range switching artifact,Artifact,validation,reviewed,note/전류 범위 전환 왜곡.md
EIS_CURRENT_DISTRIBUTION,전류 분포,Current distribution,PhysicalField,processes,reviewed,note/전류 분포.md
EIS_GALVANOSTATIC,전류 제어 EIS,Galvanostatic EIS,MeasurementMethod,measurement,reviewed,note/전류 제어 EIS.md
EIS_TRANSMISSION_LINE_ELEMENT,전송선 요소,Transmission-line element,CircuitElement,elements,reviewed,note/전송선 요소.md
EIS_POTENTIOSTATIC,전위 제어 EIS,Potentiostatic EIS,MeasurementMethod,measurement,core-reviewed,note/전위 제어 EIS.md
EIS_ELECTRONIC_CONDUCTION,전자 전도,Electronic conduction,Process,processes,reviewed,note/전자 전도.md
EIS_CHARGE_TRANSFER_RESISTANCE,전하 이동 저항,Charge-transfer resistance,ModelParameter,processes,core-reviewed,note/전하 이동 저항.md
EIS_CONTACT_RESISTANCE,접촉 저항,Contact resistance,ProcessParameter,processes,reviewed,note/접촉 저항.md
EIS_INFORMATION_CRITERIA,정보 기준,Information criteria,AnalysisMethod,analysis,reviewed,note/정보 기준.md
EIS_GALVANOSTAT,정전류기,Galvanostat,InstrumentComponent,measurement,reviewed,note/정전류기.md
EIS_POTENTIOSTAT,정전위기,Potentiostat,InstrumentComponent,measurement,core-reviewed,note/정전위기.md
EIS_REGULARIZATION_PARAMETER,정칙화 매개변수,Regularization parameter,AnalysisParameter,analysis,reviewed,note/정칙화 매개변수.md
EIS_OUT_OF_BAND_PREDICTION,제외 대역 예측,Withheld-band prediction,AnalysisOutput,analysis,reviewed,note/제외 대역 예측.md
EIS_CYCLES_INTEGRATION,주기 수와 적분 시간,Cycles and integration time,Condition,measurement,reviewed,note/주기 수와 적분 시간.md
EIS_PERIOD,주기,Period,PhysicalQuantity,foundations,reviewed,note/주기.md
EIS_FREQUENCY_GRID,주파수 격자,Frequency grid,Condition,measurement,reviewed,note/주파수 격자.md
EIS_BAND_DELETION,주파수 대역 삭제 검증,Band-deletion validation,ValidationMethod,analysis,core-reviewed,note/주파수 대역 삭제 검증.md
EIS_FRA,주파수 응답 분석기,Frequency response analyzer,InstrumentComponent,measurement,reviewed,note/주파수 응답 분석기.md
EIS_FREQUENCY_RESPONSE,주파수 응답,Frequency response,Observable,principles,reviewed,note/주파수 응답.md
EIS_FREQUENCY_ORDER,주파수 측정 순서 효과,Frequency-order effect,Artifact,validation,reviewed,note/주파수 측정 순서 효과.md
EIS_FREQUENCY,주파수,Frequency,PhysicalQuantity,foundations,reviewed,note/주파수.md
EIS_SERIES_CONNECTION,직렬 연결,Series connection,CircuitTopology,elements,reviewed,note/직렬 연결.md
EIS_AMPLITUDE_TEST,진폭 의존성 검사,Amplitude-dependence test,ValidationMethod,validation,core-reviewed,note/진폭 의존성 검사.md
EIS_BLOCKING_ELECTRODE_MODEL,차단 전극 모델,Blocking-electrode model,PhysicalModel,models,reviewed,note/차단 전극 모델.md
EIS_SHIELDING_GROUNDING,차폐와 접지,Shielding and grounding,Procedure,measurement,reviewed,note/차폐와 접지.md
EIS_WINDOWING,창 함수 적용,Windowing,AnalysisMethod,measurement,reviewed,note/창 함수 적용.md
EIS_INITIAL_GUESS,초기 매개변수,Initial parameter guess,AnalysisInput,analysis,reviewed,note/초기 매개변수.md
EIS_EQUILIBRATION,측정 전 평형화,Pre-measurement equilibration,Procedure,measurement,reviewed,note/측정 전 평형화.md
EIS_DRIFT,측정 중 드리프트,Measurement drift,Artifact,validation,core-reviewed,note/측정 중 드리프트.md
EIS_CABLE_FIXTURE,케이블과 측정 지그,Cables and fixtures,InstrumentComponent,measurement,reviewed,note/케이블과 측정 지그.md
EIS_KRAMERS_KRONIG,크래머스–크로닉 관계,Kramers-Kronig relations,Law,validation,core-reviewed,note/크래머스–크로닉 관계.md
EIS_CHARACTERISTIC_FREQUENCY,특성 주파수,Characteristic frequency,PhysicalQuantity,principles,reviewed,note/특성 주파수.md
EIS_TIKHONOV_REGULARIZATION,티호노프 정칙화,Tikhonov regularization,AnalysisMethod,analysis,reviewed,note/티호노프 정칙화.md
EIS_FARADAIC_ELECTRODE_MODEL,패러데이 전극 모델,Faradaic-electrode model,PhysicalModel,models,reviewed,note/패러데이 전극 모델.md
EIS_PHASOR,페이저,Phasor,MathematicalObject,foundations,reviewed,note/페이저.md
EIS_SURFACE_COVERAGE,표면 피복률,Surface coverage,StateVariable,processes,reviewed,note/표면 피복률.md
EIS_PROFILE_LIKELIHOOD,프로파일 우도,Profile likelihood,AnalysisMethod,analysis,reviewed,note/프로파일 우도.md
EIS_FICK_LAW,픽 확산 법칙,Fick diffusion law,Law,processes,reviewed,note/픽 확산 법칙.md
EIS_IMAGINARY_UNIT,허수 단위,Imaginary unit,MathematicalObject,foundations,reviewed,note/허수 단위.md
EIS_DIFFUSION_TIME,확산 시간,Diffusion time,PhysicalQuantity,processes,reviewed,note/확산 시간.md
EIS_DIFFUSION_MODEL,확산 임피던스 모델,Diffusion impedance model,PhysicalModel,models,core-reviewed,note/확산 임피던스 모델.md
EIS_DIFFUSION,확산,Diffusion,Process,processes,reviewed,note/확산.md
EIS_DIFFUSION_COEFFICIENT,확산계수,Diffusion coefficient,TransportQuantity,processes,reviewed,note/확산계수.md
EIS_CIRCUIT_TOPOLOGY,회로 구조,Circuit topology,Concept,models,reviewed,note/회로 구조.md
EIS_TOPOLOGY_NONUNIQUENESS,회로 구조의 비고유성,Circuit-topology nonuniqueness,Limitation,analysis,core-reviewed,note/회로 구조의 비고유성.md
EIS_ADSORPTION_RELAXATION,흡착 완화,Adsorption relaxation,Process,processes,reviewed,note/흡착 완화.md
EIS_ADSORPTION_MODEL,흡착 임피던스 모델,Adsorption impedance model,PhysicalModel,models,reviewed,note/흡착 임피던스 모델.md
MOC_PRINCIPLES,EIS 기본 원리,EIS principles,DomainMap,principles,reviewed,moc/EIS 기본 원리.md
MOC_VALIDATION,검증과 측정 왜곡,Validation and measurement artifacts,DomainMap,validation,reviewed,moc/검증과 측정 왜곡.md
MOC_REPRESENTATIONS,데이터 표현,Data representations,DomainMap,representations,reviewed,moc/데이터 표현.md
MOC_MODELS,등가회로와 물리 모델,Equivalent circuits and physical models,DomainMap,models,reviewed,moc/등가회로와 물리 모델.md
MOC_ANALYSIS,분석과 역문제,Analysis and inverse problems,DomainMap,analysis,reviewed,moc/분석과 역문제.md
MOC_FOUNDATIONS,수학과 신호 기초,Mathematics and signal foundations,DomainMap,foundations,reviewed,moc/수학과 신호 기초.md
MOC_APPLICATIONS,응용과 보고,Applications and reporting,DomainMap,applications,reviewed,moc/응용과 보고.md
MOC_PROCESSES,전기화학 과정,Electrochemical processes,DomainMap,processes,reviewed,moc/전기화학 과정.md
MOC_MEASUREMENT,측정과 계측,Measurement and instrumentation,DomainMap,measurement,reviewed,moc/측정과 계측.md
MOC_ELEMENTS,회로 요소,Circuit elements,DomainMap,elements,reviewed,moc/회로 요소.md
GRAPH_EIS_OVERVIEW,EIS 개념 연결 지도,EIS concept connection map,GraphView,principles,reviewed,graph/EIS 개념 연결 지도.md
GRAPH_VALIDATION,EIS 검증과 측정 왜곡,EIS validation and artifacts,GraphView,validation,reviewed,graph/EIS 검증과 측정 왜곡.md
GRAPH_INVERSE_PROBLEM,EIS 분석과 역문제,EIS analysis and inverse problems,GraphView,analysis,reviewed,graph/EIS 분석과 역문제.md
GRAPH_APPLICATIONS,EIS 응용 연결 지도,EIS application map,GraphView,applications,reviewed,graph/EIS 응용 연결 지도.md
GRAPH_MEASUREMENT_CHAIN,EIS 측정 경로,EIS measurement chain,GraphView,measurement,reviewed,graph/EIS 측정 경로.md
GRAPH_TIME_SCALES,주파수와 시간척도,Frequency and timescales,GraphView,foundations,reviewed,graph/주파수와 시간척도.md
GRAPH_CIRCUIT_PROCESS,회로 요소와 전기화학 과정,Circuit elements and electrochemical processes,GraphView,models,reviewed,graph/회로 요소와 전기화학 과정.md
PAGE_HOME,EIS 지식 위키,EIS Wiki Atlas,Page,principles,reviewed,pages/EIS 지식 위키.md
